ID,label
417,neutral
418,neutral
419,entailment
420,contradiction
421,neutral
422,contradiction
423,neutral
424,neutral
425,contradiction
426,neutral
427,contradiction
428,entailment
429,neutral
430,contradiction
431,entailment
432,contradiction
433,contradiction
434,contradiction
435,entailment
436,contradiction
437,entailment
438,neutral
439,neutral
440,entailment
441,neutral
442,neutral
443,entailment
444,entailment
445,neutral
446,contradiction
447,neutral
448,neutral
449,contradiction
450,contradiction
451,contradiction
452,entailment
453,entailment
454,entailment
455,neutral
456,entailment
457,contradiction
458,contradiction
459,entailment
460,contradiction
461,entailment
462,entailment
463,contradiction
464,entailment
465,entailment
466,contradiction
467,entailment
468,entailment
469,entailment
470,contradiction
471,entailment
472,entailment
473,entailment
474,contradiction
475,neutral
476,contradiction
477,contradiction
478,contradiction
479,entailment
480,contradiction
481,neutral
482,contradiction
483,contradiction
484,neutral
485,neutral
486,contradiction
487,entailment
488,contradiction
489,entailment
490,contradiction
491,contradiction
492,neutral
493,neutral
494,entailment
495,contradiction
496,contradiction
497,neutral
498,entailment
499,entailment
500,contradiction
501,contradiction
502,contradiction
503,neutral
504,contradiction
505,entailment
506,neutral
507,entailment
508,entailment
509,contradiction
510,neutral
511,entailment
512,neutral
513,neutral
514,entailment
515,contradiction
516,contradiction
517,entailment
518,contradiction
519,contradiction
520,neutral
521,contradiction
522,neutral
523,neutral
524,entailment
525,neutral
526,contradiction
527,contradiction
528,neutral
529,entailment
530,contradiction
531,neutral
532,entailment
533,contradiction
534,neutral
535,entailment
536,entailment
537,entailment
538,contradiction
539,neutral
540,contradiction
541,contradiction
542,entailment
543,entailment
544,entailment
545,contradiction
546,contradiction
547,entailment
548,entailment
549,contradiction
550,contradiction
551,entailment
552,contradiction
553,contradiction
554,neutral
555,contradiction
556,entailment
557,neutral
558,neutral
559,entailment
560,contradiction
561,neutral
562,neutral
563,neutral
564,neutral
565,contradiction
566,entailment
567,entailment
568,contradiction
569,entailment
570,entailment
571,entailment
572,entailment
573,entailment
574,contradiction
575,contradiction
576,neutral
577,entailment
578,neutral
579,neutral
580,contradiction
581,contradiction
582,entailment
583,contradiction
584,neutral
585,contradiction
586,contradiction
587,neutral
588,contradiction
589,contradiction
590,contradiction
591,neutral
592,contradiction
593,entailment
594,contradiction
595,neutral
596,neutral
597,entailment
598,neutral
599,contradiction
600,neutral
601,entailment
602,entailment
603,entailment
604,neutral
605,neutral
606,contradiction
607,neutral
608,contradiction
609,contradiction
610,entailment
611,entailment
612,neutral
613,neutral
614,neutral
615,contradiction
616,contradiction
617,entailment
618,entailment
619,contradiction
620,contradiction
621,contradiction
622,entailment
623,contradiction
624,contradiction
625,contradiction
626,contradiction
627,contradiction
628,entailment
629,contradiction
630,neutral
631,entailment
632,contradiction
633,contradiction
634,contradiction
635,neutral
636,entailment
637,entailment
638,entailment
639,contradiction
640,neutral
641,contradiction
642,contradiction
643,contradiction
644,contradiction
645,contradiction
646,contradiction
647,neutral
648,neutral
649,contradiction
650,neutral
651,contradiction
652,contradiction
653,entailment
654,entailment
655,entailment
656,entailment
657,neutral
658,contradiction
659,entailment
660,entailment
661,entailment
662,contradiction
663,entailment
664,entailment
665,contradiction
666,neutral
667,contradiction
668,neutral
669,neutral
670,entailment
671,contradiction
672,entailment
673,contradiction
674,contradiction
675,neutral
676,entailment
677,neutral
678,contradiction
679,contradiction
680,entailment
681,contradiction
682,neutral
683,neutral
684,contradiction
685,contradiction
686,neutral
687,entailment
688,entailment
689,neutral
690,entailment
691,neutral
692,contradiction
693,entailment
694,contradiction
695,neutral
696,entailment
697,neutral
698,neutral
699,contradiction
700,entailment
701,neutral
702,entailment
703,entailment
704,entailment
705,contradiction
706,entailment
707,contradiction
708,entailment
709,contradiction
710,contradiction
711,entailment
712,entailment
713,contradiction
714,entailment
715,contradiction
716,entailment
717,neutral
718,entailment
719,entailment
720,neutral
721,contradiction
722,entailment
723,contradiction
724,contradiction
725,contradiction
726,entailment
727,neutral
728,neutral
729,contradiction
730,contradiction
731,entailment
732,entailment
733,entailment
734,contradiction
735,neutral
736,entailment
737,neutral
738,contradiction
739,entailment
740,contradiction
741,contradiction
742,neutral
743,entailment
744,contradiction
745,contradiction
746,neutral
747,neutral
748,contradiction
749,contradiction
750,entailment
751,neutral
752,contradiction
753,contradiction
754,entailment
755,contradiction
756,contradiction
757,contradiction
758,neutral
759,entailment
760,entailment
761,entailment
762,contradiction
763,contradiction
764,contradiction
765,entailment
766,neutral
767,contradiction
768,entailment
769,entailment
770,entailment
771,entailment
772,contradiction
773,contradiction
774,contradiction
775,entailment
776,entailment
777,contradiction
778,entailment
779,contradiction
780,neutral
781,contradiction
782,neutral
783,contradiction
784,contradiction
785,contradiction
786,neutral
787,entailment
788,contradiction
789,contradiction
790,entailment
791,neutral
792,entailment
793,neutral
794,contradiction
795,contradiction
796,contradiction
797,neutral
798,entailment
799,entailment
800,neutral
801,entailment
802,contradiction
803,neutral
804,contradiction
805,contradiction
806,neutral
807,contradiction
808,contradiction
809,entailment
810,entailment
811,neutral
812,contradiction
813,neutral
814,contradiction
815,entailment
816,neutral
817,contradiction
818,neutral
819,entailment
820,neutral
821,contradiction
822,contradiction
823,entailment
824,contradiction
825,neutral
826,entailment
827,contradiction
828,neutral
829,entailment
830,entailment
831,entailment
832,neutral
833,neutral
834,contradiction
835,contradiction
836,neutral
837,neutral
838,neutral
839,contradiction
840,contradiction
841,contradiction
842,entailment
843,contradiction
844,entailment
845,contradiction
846,contradiction
847,neutral
848,contradiction
849,neutral
850,entailment
851,contradiction
852,contradiction
853,neutral
854,entailment
855,neutral
856,entailment
857,contradiction
858,neutral
859,entailment
860,contradiction
861,neutral
862,neutral
863,contradiction
864,neutral
865,entailment
866,contradiction
867,contradiction
868,entailment
869,contradiction
870,neutral
871,entailment
872,entailment
873,entailment
874,neutral
875,entailment
876,contradiction
877,contradiction
878,contradiction
879,entailment
880,entailment
881,contradiction
882,neutral
883,neutral
884,entailment
885,contradiction
886,neutral
887,neutral
888,entailment
889,contradiction
890,contradiction
891,neutral
892,contradiction
893,contradiction
894,contradiction
895,neutral
896,contradiction
897,contradiction
898,neutral
899,entailment
900,contradiction
901,neutral
902,neutral
903,entailment
904,contradiction
905,contradiction
906,contradiction
907,contradiction
908,entailment
909,contradiction
910,entailment
911,neutral
912,contradiction
913,contradiction
914,neutral
915,contradiction
916,contradiction
917,contradiction
918,neutral
919,entailment
920,entailment
921,contradiction
922,neutral
923,contradiction
924,neutral
925,neutral
926,contradiction
927,contradiction
928,neutral
929,entailment
930,contradiction
931,entailment
932,contradiction
933,neutral
934,contradiction
935,entailment
936,contradiction
937,contradiction
938,neutral
939,entailment
940,entailment
941,contradiction
942,entailment
943,contradiction
944,neutral
945,entailment
946,entailment
947,contradiction
948,entailment
949,entailment
950,contradiction
951,neutral
952,neutral
953,neutral
954,contradiction
955,entailment
956,contradiction
957,entailment
958,contradiction
959,neutral
960,neutral
961,neutral
962,entailment
963,contradiction
964,entailment
965,neutral
966,entailment
967,neutral
968,entailment
969,neutral
970,neutral
971,neutral
972,entailment
973,entailment
974,contradiction
975,entailment
976,entailment
977,contradiction
978,contradiction
979,neutral
980,contradiction
981,entailment
982,entailment
983,contradiction
984,contradiction
985,contradiction
986,entailment
987,entailment
988,entailment
989,contradiction
990,neutral
991,contradiction
992,contradiction
993,contradiction
994,entailment
995,contradiction
996,contradiction
997,neutral
998,neutral
999,contradiction
