,label,text
10,2,"Two girls sitting on the stoop of a building, sharing a laugh, while one drinks coffee. Two girls talking while sitting on the stairs. Two girls are sitting outside steps talking. Sitting on a doorstep talking. ||| A woman sits on concrete steps."
11,0,A man in a black beanie and green jacket sits on a rock on a staircase and speaks to two other people. I don't see a picture I don't see a picture I don't see a picture I don't see a picture A man in a black knit hat is pointing a finger towards the sky. Man in a green jacket sitting on steps. ||| Men talking.
12,1,A man in a light blue and white striped shirt is cooking at the stove in a kitchen. A man is cooking on a flat top range in his kitchen. A man is cooking something on the stove. A man is cooking in his kitchen. ||| Man stirring food.
13,1,A multicolor dog jumping to catch a tennis ball in a grassy field. A dog leaps while chasing a tennis ball through a grassy field. A dog is jumping to catch an object thrown at it. A dog and a tennis ball. ||| A black and white dog catches a toy.
14,2,An older man and woman sitting on a cement bench with frowns on their faces. An overweight woman and man have upset faces as they sit on a bench. An older woman and an old man sitting down looking unhappy. A man and a woman sitting on a bench ||| Couples dancing.
15,2,A young girl wearing dark sweatpants and a zip up jacket swings a badminton racket. A young girl in glasses and sweatsuit swings a racket. A young girl in brown pants trying to play tennis. A little girl is playing tennis or bad-mitten. ||| Children watch boys.
16,2,A black and white dog is sliding down a sandy hill. A black and white dog is climbing down a hill. A black dog running on a sand mound. A black and white dog sliding down a slope on a beach. ||| A dog digging.
17,0,"Two men and a woman are sitting at a table, the lady is holding a microphone and talking. Two white men and an African-American woman sitting at a table with a microphone. A woman in a brown dress is interviewing two men. Blue collar workers at a convention. ||| Guys joking."
18,2,A group of people listening to a speech or presentation near the front of the room. A group of Christian women stand in an art gallery on Ash Wednesday. A group of women stand all looking toward the same direction. A group of women waiting to enter a convention. ||| A woman knitting.
19,0,Two male cowboys are riding a horse trying to rope a black cafe. Two men in cowboy hats on top of horses are roping a calf. Two men on stallions perform lassoing a small black calf. Two men riding horses trying to catch a cow. ||| A man preparing to lasso a bull.
20,0,Two little boys eating apples climbing over a retaining wall. Two boys eating apples playing on a cement car barrier Two young boys with apples hop a concrete barrier. Two little boys holding apples near the street. ||| A child talking.
21,2,The boy is holding on to a rubber chicken with eight balls on its feet Small child holding onto hanging rubber chickens. A toddler holds a rubber chicken suspended in air A little boy playing with two rubber chickens. ||| A boy walking.
22,2,"Two men face each other in front of a small table, one of whom is wearing a hat while holding a chicken. Two men one in shorts and a button-up shirt, and the other in a blue collared shirt, talking. Two older males talking whilst one holds a chicken. Two men are talking while one is holding a chicken. ||| Asian men dancing."
23,0,Two men in suits and a woman in a white outfit playing instruments on wheels. Two men in bowler hats and a woman are performing on a street. Musicians are performing outdoors for money. Three people are performing music. ||| A guy smiling.
24,0,Male with a tattoo mopping up the floor at the video store. A man with a tattoo holding a mop near a video game store. A man with a tattoo on his arm holding a mop. Shop keeper cleaning the floors. ||| Three men standing on a street.
25,1,A man is standing in front of a microphone in a room with individuals sitting on chairs in rows around the edges of the room. A man in a suit is standing at a podium in front of an audience. An older gentleman is holding a conference. Some men are attending a meeting. ||| A man gives a presentation.
26,2,Three people each lead one camel with riders in a silhouetted line across sand dunes and a gray sky. Three camels are carrying passengers through a desert. A group of people and camels walking in the desert. People on camels crossing desert horizon. ||| A couple walking.
27,1,An Asian woman wearing tall black socks and black shoes is walking across the street. A young girl in a maid 's outfit and coat is walking across the street. A woman in a brown puffy jacket is walking across a busy street. An Asian woman dressed as a maid crosses a very busy street. ||| A lady standing.
28,1,A group of young girls smiling with a large crowd behind them Four young girls pose for a picture at school Four young girls posing for the camera. Four girls pose in front of a crowd. ||| Children standing in a group.
29,0,There is a wonderful spread of food on this buffet. A group of people are selecting food from a buffet. Numerous people stand in line for food. Many people decide it 's time to eat. ||| Men gather.
30,0,"A woman is standing and opening something while a man is sitting with his arm raised. A man animatedly conversing, while a woman attempts to open a container A man with his hands up in front of a table with bowls and ice cream. A woman fixing her drink with a man talking with his hands. ||| A woman scooping food."
31,1,"A girl with white and black shirt and shorts, with orange shoes, throwing a javelin. A girl in a black and white outfit throws a javelin. A young girl getting ready to throw a large pole. She is about to throw a stick for a competition. ||| A girl leaning."
32,0,The man wearing the brown jacket is holding a cigarette and the man behind him is holding a can of beer. A young man stands in a crowd beside another young man holding a beverage can. A man has his hands up while standing next to another man with a drink. Two young men are at a party. ||| Men posing for the camera.
33,2,"A man in a blue shirt and sunglasses on top of his head, is lying with his head resting on a bookbag, and has his eyes closed. A man in a blue shirt and black pants relaxes with his glasses resting on his forehead. A young oriental man naps on a bench with his bookbag behind his head. A person resting with sunglasses on. ||| A man has fallen."
34,0,Little boys in their red uniforms play soccer outside. Two boys in red uniforms are playing soccer. Two boys in red uniforms playing soccer. Children playing a soccer game. ||| A soccer player is kicking a goal.
35,0,"A group of men and women sit at a restaurant table with beer and food. Friends are at a bar drinking, eating, and having a conversation. A group of people sit at a table that has food and drinks on it. A group of young people eating at a restaurant. ||| Men with sunglasses talking."
36,1,"There is lady with the white apron has an utensil standing over a wok, a man in blue shorts and blue shirt sitting down, a person in a pink shirt and others are in the background all in one place. A lady attired in an apron stands over a kettle, preparing food, while patrons sit, chat, and dine in the background. A Hispanic woman is using an outdoors wok to cook. An Asian woman is cooking in an outdoor kitchen. ||| Group sitting at tables."
37,2,A bald man in a blue shirt is operating a fiery furnace. A man in an apron operating an open wood stove. A man wearing a black apron is cooking. A man operating a furnace. ||| A man canoeing.
38,0,A woman in a white blouse and gray skirt holds a white umbrella over her head on a sunny day. A woman in a white shirt and gray skirt if standing under a white umbrella. A woman in a white shirt and skirt holding an umbrella. A lady is standing in the sun holding an umbrella. ||| Women waiting to cross a street.
39,2,There is a young girl in a bathing suit playing with water shooting out of the ground. A girl with a black swimsuit plays in the sprinkler. A young girl is playing in a fountain of water. A young girl plays in fountain water. ||| Some boys sitting.
40,2,"A man with long hair and a mustache sits on a milk crate and plays the guitar. An old black man, playing a guitar on the sidewalk. Man sitting on milk crate plays guitar on sidewalk. A man sitting on a crate plays the guitar. ||| A man studying."
41,1,A circle of Native Americans in full traditional attire site in a drum circle amongst a sea of listeners. Indians celebrate their culture in traditional clothing through song. A group of native Americans perform for a crowd by playing the drums A family having a party or doing a religion. ||| Native Americans sit in circle chanting and beating instruments.
42,1,"A group of young Asian men leaning on a balcony, two in black shirts the rest in white. Seven men dressed in white and black look over the railing of a balcony. Asian males dressed in white and black are looking around. Seven students looking over a balcony. ||| Several men standing."
43,2,"A group of five women and girls in bathing suits jumps into the water with their backs to the camera. Five girls in swimsuits, are seen from the back, jumping into the water. The five girls wearing swimsuits jump into the water. Girls in swimsuits jumping into water from behind ||| Men and a woman holding beverage."
44,2,Three men stand near a large wooden cross overlooking a desert mountain. Three men are looking at a sign on a cross in a canyon. Three young males are standing in front of a cross. Three men look at a sign. ||| Man talking on his cellphone.
45,2,A lone cyclist rides down a road next to an old stone wall. A person in a red shirt is riding a bicycle down a road. A solo cyclist is riding down a windy road. One man in the distance on a bicycle. ||| A man and a boy are bicycling.
46,1,A man dressed in traditional Dutch clothing is on a wooden stage with four young children. Four children are mimicking a man dressed in German clothes. An instructor is teaching kids to do something. A man in a costume entertains four kids. ||| A child stands on a floor.
47,2,A person in a green and white jacket and green pants is practicing on his snowboard. A person in green pants on a snowboard above the snow covered ground. A snowboarder in green is balancing on a wooden bench. A man dressed in green snowboarding on a bench. ||| A child standing up.
48,0,The older girl is laughing and holding the younger girl outside Two girls are enjoying themselves on a spinning platform. Smiling girls sitting on rounded platform Two girls happily playing in a park. ||| Two children smile for the camera.
49,2,A mountain bike racer on a dirt road during a race A male cyclist rounds the course on a dirt road. A mud covered cyclist zooms down the trail. A cyclist is racing down the street. ||| A man running on a beach.
50,2,"Lady in a pink shirt a blue jeans, holding a little girl, dressed in pink, posing next to an alpaca A woman in pink is posing with a small girl and a farm animal overlooking a grassy scenic hilltop. A woman and a little girl pose for a picture with a llama atop a hillside. Woman and child on hillside feeding a lama. ||| Lady sitting."
51,1,Sisters waiting for their dinner to be served at a restaurant while listening to live music. Two little girls drawing while listening to a band play at a bar or restaurant. Two young children are seated in front of a live band. Two children in front of a jazz band. ||| Children sitting.
52,1,"Man and women both vaguely clothed, with their arms interlocked between each other. A shirtless man and woman are holding each other while standing in a pile of leaves. A man and woman who are standing outside in the grass doing a photo shoot. A couple wearing white play around in the front yard. ||| A man and a woman performing moves."
53,1,A man in athletic attire walks across a green grassy sports field while cameramen look on. A lone soccer player being spectated by many out on the field. A guy is running on a soccer field by a filmier. The crowd cheers a player on the field. ||| An audience watching.
54,2,A woman with long black hair wearing a purple blouse and black pants is sitting down doing some type of craft project. A woman in a purple shirt playing an instrument. Girl in purple shirt making something out of wood An Two Asian women painting a piece of wood. ||| A woman having a meal.
55,2,A gymnast in a blue leotard is doing a handstand on the workout floor. A child gymnast performs a trick in a gymnasium. Gymnast does a flip on blue flooring. A child doing gymnastics ||| A child walking.
56,2,Bearded man in green hat is blowing on long wooden object and woman behind him is looking at him like he is crazy. A man blowing into a horn with a woman standing next to him wearing a scarf around her head. A man is blowing a horn at a festival. A man in a plaid shirt blows a horn. ||| Men having lunch.
57,0,Young child getting ready to bowl a ball toward a pin while playing bowling. A child is bowling in an alley with one pin left standing. Young boy bowling with a ball between his legs. A young boy is bowling at a bowling alley. ||| A small child hits another ball.
58,1,"Two well padded boxers face off in a high school gym as people watch. Two men are in a boxing match, with an audience watching. Two men in the middle of the action of a fighting match. Two men wearing boxing gear and engaging in a match. ||| Fighters fighting."
59,2,A gray in a gray sweatshirt running alongside of a small dog A person playing with their black dog in the grass. A black dog is in the grass with a woman in jeans. A woman and a dog are running in a field. ||| A woman flies a kite.
60,2,A woman sitting on one of a row of green chairs is holding a microphone. The lady is sitting on a green chair and using a microphone. An Asian woman with glasses in a green chair singing. A woman sings into a microphone while traveling. ||| Women discussing.
61,0,"A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket. A woman wearing a white head-covering holds her sleeping baby, who is wrapped in swaddling cloth. A woman in a shawl is holding her child that is wrapped in a colorful blanket. A woman in a shawl holds her baby. ||| A woman poses for a picture."
62,2,Three large dogs are playing in the water at the beach. Three dogs rush to chase a ball thrown into the surf. Three dogs are running in the water on the beach. Three dogs entering the ocean. ||| Dogs walking.
63,1,Two police officers stand on the sidewalk as the occupant of the car looks at them. A man with sunglasses peeks his head out of the window of a silver car as two police officers in reflective jackets and white helmets stand near him. Two police officers are talking to someone who 's inside a car they stopped. Someone in Europe pulled over by a motorcycle cop. ||| A man looks out a window.
64,1,A teenage boy does tricks on his skateboard in an area with much graffiti. A boy with a blue shirt is standing on the railing of a flight of stairs. A boy performs a skateboarding trick down a set of stairs. A boy skateboards down the railing of some graffiti stairs ||| A skateboarder slides down a handrail.
65,2,A man crouches over his plants with various plants and dirt in the background. A man with glasses tending to several small trees in pots. A man who is wearing glasses is planting trees. The man is working on his trees in the garden. ||| A man watching another man jump.
66,1,A man in a red shirt is doing a trick with his skateboard. A skateboarder is performing a trick in the air. A man wearing a red shirt is skateboarding. Person doing a skateboard trick in midair. ||| A skater jumps in the air.
67,1,A man rides a skateboard up a sloped concrete surface and into the air. A skateboarder jumping on a wall with a mountain in the background A skateboarder is in the air after skating up a cement ramp. A guy getting some air on a skateboard ||| A skater flies.
68,2,A man wearing a red jacket and knee high boots is fly fishing. There is a man fly fishing in a river with trees behind him. A man is wading in a river and casting out a rope. A young man in little shorts fishes in a stream. ||| A man and a boy standing.
69,2,A group of people wearing costumes jump as they walk down the street. People in a parade wearing multicolored clothes and dancing. Two women in motley high kick at a parade. Street dancers in blue and red pants. ||| A crowd watches.
70,2,A man wearing a black shirt is carrying a bag of ice in each hand. A man carrying bags is walking through a door into a house. A man holding two bags of ice enters a house. The man is holding two heavy bags of ice. ||| A guy coming inside.
71,0,Three little children in a grassy yard running towards the camera. Three toddlers are running towards the camera in a grassy yard. Three young children are walking through a grassy yard. Three little kids are playing on a yard. ||| Two little girls running.
72,2,"Man in boat wearing athletic shorts, a backwards baseball cap and sunglasses unhooks a fish he has caught while fishing. There is a man with a gray shirt on his speed boat who caught a big fish, and has started to cut it open. A man catches a decent sized fish and is taking it off the hook A man on a boat unhooking a fish he just caught. ||| Men standing in front of a crowd."
73,1,A man with a black backpack and a woman with long dark hair and a teal colored shirt standing on some rocks looking at the ocean. A man and a woman standing on a cliff looking out over the ocean. A man and woman stand on a rocky shore gazing at the waves. Two people look out to the ocean. ||| A couple stands.
74,2,"An impoverished person, wearing a torn brown shirt and no shoes, is kneeling down along the banks of a trash infested body of water. A man crouches by the bank of a muddy stream, sifting through rocks and pebbles on the ground. A famished person is sitting beside a trash filled stream. A person playing with a rock next to some dirty water. ||| A child squatting."
75,2,A man in a green shirt and backpack is standing under cover along with a woman behind him taking a picture. A young man wearing a green T-shirt and a backpack is waiting with some other people for transportation. A man in a bright green flux shirt walks along a crowded sidewalk under metal scaffolding at night. A girl in the background takes a picture as many people busily walk by. ||| A woman sitting talks on her phone.
76,0,Two people sitting on a bench with their dog next to a body of water. Two people sitting on a bench by the water with a dog. Two people with a dog sitting in front of the ocean Two people and a dog next to the water. ||| A dog stands.
77,2,"Four soccer teammates in red shirts celebrating while opposing team member in blue walks away, a SONY advertisement for a 3d TV is on the field. Soccer players dressed in red and white uniforms walking on a field. A group of soccer players winning a game. Soccer players walking on a field. ||| A man talks to a group."
78,2,One dog standing in some grass with his tongue hanging out and a tan dog in the background Large fluffy gray dog standing in grass in front of a brown dog. Two dogs of different breeds are standing in a pasture. Two dogs stand in the grass. ||| Dogs running in grassy area.
79,0,"Two people sit in the dark, on the shore, looking at the city lights. Two people on cots watching the water at twilight. Two people sitting in the shadows near the water. Two people relax by the water. ||| A couple sitting."
80,2,A young man skateboarding over a ramp behind a chain link fence with two friends. A young man with headphones and a red shirt on a skateboard at a skateboard park. In a chain link enclosed skate park a skater goes over one of the obstacles. A male skateboarder takes a ramp at a local skate park. ||| A woman skating.
81,2,A little girl in pajamas runs down a hall with hardwood floors. A little girl is running down a hardwood floored hallway. A young girl runs down a hallway with wooden floors. A little girl running down a brightly lit hallway. ||| A toddler standing.
82,0,"A large group of people are gathered in a courtyard, with some laying on mats. A group of men and women are praying outside. A group of people using mats on the ground. Several people are praying in the square. ||| A group standing."
83,2,"A man, wearing a black shirt and red lanyard, is standing in front of a group of other males. A man in a dark shirt and orange lanyard speaking to an audience. A man is giving a presentation in front of a crowd. A man is giving a presentation. ||| A man water-skiing."
84,0,"A lady in a black dress, black boots and black jacket walks in front of blurred people. A beautiful woman in a black dress is walking on the street. A woman in a black dress is walking in the street. A brunette wearing a little black dress walking. ||| A woman glancing."
85,0,A crowd of people gather at the bottom of steps as they look up at two men wearing suits. A group of people is gathered outside a building listening to a man on the stairs speak. A man in a business suit speaking to somebody while a crowd gathers in front of him. A number of people are gathered in a plaza at the foot of the steps to a building. ||| A family waits.
86,2,"An oriental woman wearing a black tunic, leggings and boots, stands outside a produce store. A woman wearing black with a white handbag is standing on the sidewalk in front of a market. The young lady is waiting on the sidewalk in front of a produce stand. A woman in a black coat stands on a curb outside a market. ||| A woman holding her baby."
87,0,A little girl with her face painted is swinging a stick at a pinata surrounded by a group of onlookers. A little girl with makeup on her face hits a pinata with a stick while others look on. A little girl with a face-painting swinging a stick at a pinata. A young girl attempting to break open a pinata. ||| Children watch.
88,1,"Two adolescent girls are seated at a wooden table creating homemade crafts. Two girls, one with brown hair and one with red, make toy cars. Two young girls are building wooden toys at a table. Two preteen girls doing arts and crafts. ||| Two children working on a project."
89,2,A man in a black jacket standing beside a green mailbox thoroughly soiled by a group of pigeons that are nearby. An older man wearing a leather coat and cowboy hat by a mailbox standing on the street near a flock of pigeons. A man in a leather jacket and cowboy style hat standing beside a mailbox and group of birds. An old man in a black vest next to a green mailbox. ||| A man and woman are about to kiss.
90,2,Woman kneeling in leaves towards a baby sitting in the leaves with a little boy in the background holding a bunch of leaves. A woman in a white shirt plays in the leaves with two children. An adult and two children play in piles of fallen leaves. Two boys and their dad playing with leaves. ||| A man and a woman sitting and smiling.
91,2,"An old man is taking photos of nature, while a young couple makes out in the background. A man in black pants taking a picture on a path. A dark-skinned man is taking pictures. A man taking photos of nature. ||| Men having fun."
92,0,An elderly Asian woman wearing a red long-sleeved shirt and carrying a woven purse points to a man she is speaking to who is wearing a red light jacket and carrying a satchel. A woman in a red shirt and some jeans looks like she is arguing with a man in red and a great satchel. A woman in a red shirt is talking to a man with a red shirt on the street. A lady in a red jacket talking to a man with a cane. ||| Man bent over.
93,2,A man in white shirt and metal helmet parking his bike next to some cars. A man in a silver helmet sits on a motor scooter with cars around him. A man with a white hat on a scooter. A man on a bike sitting in traffic. ||| A man walks down a country street.
94,1,Barefoot women wearing orange and magenta saris are performing a dance. Indian dancers dressed festively in red and orange at a performance. Colorful Bollywood dancers in action on a stage. Many women dancing in their traditional way. ||| A group dancing.
95,0,Two men on horses chase down a cow on a sunny day. Two men are on horseback trying to rope a cattle. Two men at a rodeo attempting to rope a calf. Two rodeo riders going after a young steer. ||| Two men ride brown animals.
96,0,People that are walking in an urban area in a large city where there are concessions. People walk on a sidewalk beside a building that has graffiti on the brick wall. Street vendors serve passersby in the city. People are walking up and down the streets. ||| Two women walking and talking.
97,1,The man in the gray shirt is blocking the second person in the black shirt from view while looking into the washer. A young man with glasses and his companion are attempting to do laundry in a public place. A man in a gray shirt is talking to another person wearing a black shirt. A man is loading a washing machine. ||| A man standing in front of a machine.
98,2,Two young blond girls in white dress with flowers looking at horses pulling a white carriage on a brick road. Regal horse and white carriage scene with female driver and two blond little flower girls dressed in white. Two little girls wearing white dresses are standing next to a white carriage attached to two horses. Two young flower girls stand hand-in-hand by a white carriage pulled by two black horses. ||| Two children fishing.
99,2,A young blond-haired boy in a white shirt and red pants running through a park. Here is a picture of a young boy playing in a golf resort village. A young boy in red pants runs underneath a tree. A boy in red pants plays under a tree. ||| Children sitting on the carpet.
100,1,"A young man watches, as three young women talk to another young man, in front of a shop. A group of Oriental young people are standing outside the doorway to a store. A group of Asian people are looking at art in a window. Five people are standing outside of a business. ||| A group gathers."
101,1,A group of middle-aged women talking with each other. A group of women having a discussion. Four women interact at a conference. Office workers having fun. ||| Women standing.
102,0,People from a foreign village gathering resources. A group of villagers working beside a dirt road. A group of people are outside working. Group of people mining for ore. ||| Women digging.
103,2,"Four women are standing together, posing for a picture. Four women wearing formal gowns pose together and smile. Four girls in evening attire pose for a picture. Four women in dresses pose together. ||| Women listening to music while sitting."
104,1,A woman in a dress is holding a camera next to another woman who is laughing. Two young women are standing in a living room laughing and smiling. Two women laughing at a cat walking on the furniture. Two young women clap their hands in laughter. ||| Women having fun.
105,2,Several shirtless dark-skinned men with their arms held high engaged in a ceremony. Shirtless men in matching clothing raise their hands into the air. A bunch of shirtless guys with their hands up in the air. One group of people with their hands up. ||| A man standing with his back against a post.
106,2,An elderly woman is sweeping the sidewalk in front of a graffiti-covered building. An old woman standing in front of a white door in a wall covered in graffiti. A woman sweeps among the graffiti written on the outside of her home. An older lady wearing a green dress is sweeping her sidewalk. ||| A woman walking.
107,1,"Black man wearing an orange sign, sitting on a stool on a sidewalk next to McDonald's. A man on the street is wearing a sign that reads ""OURO"". Person wearing a sign on the sidewalk that says 'OURO'. A man sits outside with a sign on his back ||| A man advertising."
108,1,A snowboarder in green grinds along the edge of a rail at night. A snowboarder wearing a green jacket jumping a green railing A snowboarder wearing a green jacket jumps above a low gate. A helmeted boy flies through the air on a snowboard. ||| A snowboarder balancing.
109,2,Three people sitting at a small table smoking cigarettes. Three people sitting down at a small table. Three friends are having coffee. Three friends share a coffee. ||| A man sitting at a stand.
110,0,An African American police officer and woman stand at the front of a bus. Police officer watching woman exit from bus. Police officer whistles while he works A police officer standing on a train. ||| A policeman leaning over.
111,1,"A woman in a black leather mini-dress and boots is shopping from a street vendor. A woman in a black tank top, skirt and boots is looking at jewelry for sale. Young woman dressed in black looks over articles from a street vendor. A woman in a black leather skirt perusing at the market. ||| A woman standing in front of a table."
112,1,A man in a gray and orange shirt stands in front of a streetlight. A man in an orange and black shirt holding a helmet. A young man is standing staring at something. A man in an orange shirt standing. ||| A man holding a hard hat.
113,2,"A man and a woman, both pushing strollers with children in them, are stopped and looking at each other. Man and woman passing each other on the street and each of them are pushing a child in a stroller. The Man and the Woman are talking with one another each carrying a child on a stroller. Two people with children exchange words. ||| Two men walking on a beach."
114,2,Police officers on motorcycles stopped in front of a building. Two police officers are sitting on motorcycles in the road. Officers on motorcycles patrol the streets. Two policeman and are on motorcycles. ||| Group walking on a busy sidewalk.
115,1,"Photojournalist on a motorcycle, following marathon runners, one wearing a green shirt and shoes, the other fluorescent orange with blue shoes. Two men one in orange shirt, who is ahead, and one in green shirt running a race. Two Runners, being filmed from a motorcycle, while spectator watch. Two runners in a race being trailed by a motorcycle cameraman. ||| Two men jogging."
116,0,A brown dog is chasing a tattered soccer ball across a low cut field. A brown dog chases a tattered ball around the yard. The tan dog is chasing a ball. Tan dog chasing a ball. ||| Large dog playing with a ball.
117,2,A show jumper wearing a blue helmet rides a white horse over wooden fence that is decorated with red and yellow flowers. A rider on a white horse is in the middle of a jump over a hurdle. The rider is practicing jumps on a beautiful white horse. An equestrian and horse make a jump on a course. ||| A skater jumping.
118,0,"There is a person with a white hat, blue coat and blue scarf passing a group of stands with various items for sale. A lady with a blue coat is seen riding a bike in front of a store. A man biking by a sigh next to things for sale. Women cycling past a small store. ||| A man sweating."
119,2,A small group of adult males enjoy a conversation in an architecturally sound building. A group of college students gathering in the community center. People conversing in a casual setting. People standing in a corner. ||| A man is airborne.
120,1,Several teenage boys are sitting in grocery carts in a parking lot. Boys with bottles pose in shopping carts in urban area. Teenagers play in shopping carts of a rooftop. Four young males pose on shopping carts. ||| Some guys sitting.
121,0,The person has a striped shirt on and is holding on to a rope on a mountain. The person in the striped shirt is mountain climbing. A woman in a striped shirt climbs up a mountain. A young man climbs a rocky hill. ||| A child rock climbing.
122,1,"Three Asian women are standing together smiling, the one with red hair is holding up the peace sign with her fingers. Three girls smiling, one of those showing two fingers as if she 's doing the peace sign. Three young women smiling while the lady with the red hair makes a peace gesture. Three girls are smiling for a picture. ||| A girl holds her hand up."
123,1,"A little girl and an older girl in white dresses stand together at the edge of a body of water with their backs to the camera. Two little girls in dresses, one older, one younger, on a shoreline with some larger rocks just sticking out of the water. Two girls in white dresses holding hands and leaning on each another while standing on the shoreline of a calm sea. Two blond girls in white dresses, one much smaller than the other, stand on the bank of a large body of water. ||| A woman stands."
124,0,Two girls in black dresses are standing next to each other in front of brown trees. Two Asian girls with long bangs covering their eyes Two Asian women dressed in black. Two girls in black dresses. ||| Asian women pose for a picture.
125,2,"A little Asian girl in a yellow shirt and blue shirt standing in front of a little boy with a sleeveless shirt and shorts on. A young boy and young girl both wearing shorts stand face on the street while an adult 's arm can be seen nearby. Two small children, one boy and one girl, standing near a street vendor talking. Two young Asian children stand together on a public street. ||| Children skating."
126,2,"Two people sit in beach chairs with their child in front of them as waves come crashing in on a very sandy beach. Three people, one of them a child, sit on a sandy beach. People laying on the beach with waves in the background. Man on a beach with a baby ||| A bicyclist sitting."
127,0,A man in a hooded sweatshirt and a black hat with the words 'probuilt' stitched across is using a handsaw on wood for a construction project. A skillful construction worker sits high on a ledge while using a circular saw to trim wood to the precise size. A man is making a cut on a piece of board with an electrical saw. A man performing dangerous job duties. ||| Two men jumping.
128,2,"A man striking a pose as one man with a bike, and another man in the background watch. One teenager gives a performance, while another, holding a bike, looks on. Two boys in all black standing next to both a bike and a tree. Young guys are having fun. ||| A man woodworking."
129,1,"A skateboarder, holding his board while airborne, with high voltage power lines in the background. A skateboarder in a white shirt grabs the side of his skateboard in midair. A bow does a trick on his skateboard at a skate park. A kid doing a skateboard trick while in the air. ||| A boy does a trick."
130,0,"Two people gathered at a doorway; One appears to be a health professional from her smock top and the other a young girl, wearing eyeglasses, perhaps seven or eight years old, that has some type of apparatus in her front that may be aiding her health. A heavyset girl in a striped dress with glasses is holding hands with someone while she is receiving some sort of medical treatment. A girl in a striped dress is holding a nurse's hand. Girl in striped dress holding woman's hand. ||| A child walks through a doorway."
131,0,The red-haired woman has her hand on the door post of the vehicle. A red-haired woman with green eyes is entering a van. A lady with red hair peeking into the back of a car. A red-haired girl poses in back of a car. ||| A woman smiling.
132,1,A woman screams into a microphone with orange messy hair and green eyeshadow. A man with an ear-piece opens his mouth wide as he sings into a microphone. A person with red hair and blue eyeshadow sings into a microphone. Vocalist singing into a microphone. ||| A singer singing.
133,1,"A small group of children are standing in a classroom and one of them has a foot in a trashcan, which also has a rope leading out of it. A group of children stand by a child sized table and chairs while one of them puts their foot in a small plastic bin. Children in a schoolwork on an activity. These are kids acting crazy at school. ||| A group playing a game."
134,2,A young boy in a white suit stands in front of a white car with large bunches of flowers tied to the roof and hood. A young boy leans against a car adorned with floral arrangements while the driver looks on. A boy is leaning up against a car adorned with flowers. A boy is leaning on a car with flowers on the hood. ||| A man poses for a picture.
135,0,A man is sitting in a chair getting his haircut by another man while two more men converse in the background. A man receiving a haircut while two other men converse in the background at a barber shop. A man receiving a haircut at a barber shop. Man getting haircut at barber shop. ||| Friends talk.
136,2,A group of women in sports uniforms are playing frisbee in a field while others spectate. Many people are playing Frisbee in a grassy field. Women playing ultimate Frisbee. Women playing ultimate frisbee. ||| A blond woman playing tennis.
137,0,A group of people playing soccer on a soccer field in front of a crowd. Here is a picture of a soccer game during halftime. Two teams playing soccer in a packed stadium. An audience watching a soccer game. ||| A group waiting.
138,2,This is the image of a woman in a burgundy suit giving a speech at an conference. A woman wearing a red jacket speaking at a podium. The lady wearing a red coat is giving a speech. A woman speaking at a podium. ||| Some women smile.
